                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9534,                 4.9311,                 4.1646,                      0,                      0,                      0,                      0,                 5.0999,                 5.1009,                 4.2356,             0.00017144,             0.00017144,             0.00017144
                      2,                 4.3697,                 4.1854,                 3.5301,                      0,                      0,                      0,                      0,                 5.1628,                 5.2202,                 4.5327,             0.00034501,             0.00034501,             0.00034501
                      3,                 3.9299,                  3.437,                 3.0005,                0.55828,                0.01175,                0.01484,                0.00555,                   4.26,                 4.7916,                 3.4346,             0.00051745,             0.00051745,             0.00051745
                      4,                 3.6285,                 3.0607,                 2.6126,                0.01621,                 0.0938,                0.01492,                0.00461,                 3.5901,                 4.3878,                 2.7641,             0.00051887,             0.00051887,             0.00051887
                      5,                 3.4369,                 2.8447,                 2.3863,                0.26904,                0.04456,                0.02418,                0.00877,                 3.2854,                 5.7913,                 2.4172,             0.00051584,             0.00051584,             0.00051584
                      6,                 3.2228,                 2.6822,                 2.2651,                0.25044,                 0.0671,                0.02747,                0.00978,                 3.1945,                 3.4298,                 2.2799,             0.00051311,             0.00051311,             0.00051311
                      7,                 3.1125,                 2.5107,                  2.133,                0.45227,                0.07291,                0.05332,                0.02075,                 3.0181,                 3.2246,                 2.1726,             0.00051006,             0.00051006,             0.00051006
                      8,                 2.9486,                 2.3631,                  2.091,                0.36855,                0.08946,                0.07153,                0.02993,                 2.9026,                 2.4727,                  2.138,             0.00050692,             0.00050692,             0.00050692
                      9,                 2.9109,                 2.3571,                 2.0203,                0.57016,                0.11374,                0.08984,                0.04017,                 2.8258,                 2.3999,                 2.0627,              0.0005043,              0.0005043,              0.0005043
                     10,                  2.775,                 2.2325,                 1.9908,                0.51851,                0.12966,                0.11712,                0.05179,                 2.6952,                 2.1553,                 2.0233,             0.00050184,             0.00050184,             0.00050184
