                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2317,                 1.0248,                 1.2063,                0.68735,                 0.4279,                0.46774,                0.32748,                 1.0877,                0.85323,                 1.1916,             0.00017144,             0.00017144,             0.00017144
                      2,                 1.1228,                0.77273,                 1.1679,                0.69568,                0.43072,                0.47465,                0.32975,                 1.0721,                0.80865,                 1.1677,             0.00034373,             0.00034373,             0.00034373
                      3,                 1.0997,                0.75138,                 1.1447,                0.72272,                0.42811,                0.47805,                 0.3366,                 1.0741,                0.80571,                 1.1639,             0.00051439,             0.00051439,             0.00051439
                      4,                  1.101,                0.75495,                 1.1346,                0.70516,                0.43781,                0.47465,                0.33566,                 1.0764,                0.80376,                 1.1737,             0.00051508,             0.00051508,             0.00051508
                      5,                 1.1209,                 0.7507,                 1.1559,                0.73328,                0.44096,                0.48271,                0.33596,                 1.0737,                0.80594,                 1.1856,             0.00051193,             0.00051193,             0.00051193
                      6,                 1.0834,                0.72771,                 1.1386,                0.69392,                0.44266,                0.48168,                0.33659,                 1.0769,                 0.8105,                 1.1669,             0.00050853,             0.00050853,             0.00050853
                      7,                 1.0959,                0.72742,                 1.1388,                0.70396,                0.44395,                0.48356,                0.33824,                 1.0671,                0.79139,                 1.1694,             0.00050517,             0.00050517,             0.00050517
                      8,                 1.0673,                0.72517,                 1.1401,                0.74281,                0.42485,                0.47954,                0.33585,                 1.0766,                0.81359,                 1.1769,             0.00050218,             0.00050218,             0.00050218
                      9,                  1.095,                0.75675,                 1.1404,                0.74137,                0.43258,                0.48151,                0.33569,                 1.0712,                0.82761,                 1.1723,             0.00049804,             0.00049804,             0.00049804
                     10,                 1.0485,                0.71185,                 1.1458,                0.71194,                0.44011,                0.48394,                0.33703,                  1.066,                0.80551,                 1.1595,             0.00049412,             0.00049412,             0.00049412
                     11,                 1.0702,                 0.7178,                 1.1253,                0.70228,                0.44381,                 0.4843,                0.33644,                 1.0833,                 0.7983,                 1.1856,             0.00049058,             0.00049058,             0.00049058
                     12,                 1.0665,                0.72194,                 1.1428,                0.72671,                0.44678,                0.48524,                 0.3405,                 1.0646,                0.80627,                 1.1675,             0.00048677,             0.00048677,             0.00048677
                     13,                 1.0519,                  0.708,                 1.1355,                0.69202,                0.44541,                0.48506,                0.34187,                 1.0511,                0.78228,                 1.1775,              0.0004832,              0.0004832,              0.0004832
                     14,                 1.0631,                0.70613,                 1.1195,                0.72413,                0.44096,                0.48098,                  0.338,                 1.0514,                0.79391,                 1.1676,             0.00047963,             0.00047963,             0.00047963
                     15,                 1.0572,                0.71369,                 1.1262,                 0.6855,                0.44809,                0.48301,                0.33525,                 1.0842,                0.81524,                 1.1911,             0.00047572,             0.00047572,             0.00047572
                     16,                 1.0395,                 0.6976,                 1.1385,                0.72977,                0.43933,                0.48579,                0.34038,                 1.0676,                0.80248,                 1.1728,             0.00047213,             0.00047213,             0.00047213
                     17,                 1.0136,                 0.6886,                 1.1329,                0.70257,                0.44133,                0.48442,                 0.3363,                 1.0743,                 0.8082,                 1.1808,             0.00046854,             0.00046854,             0.00046854
                     18,                 1.0338,                0.68532,                 1.1101,                0.70381,                0.43863,                0.48717,                0.34332,                 1.0576,                0.79324,                 1.1782,             0.00046495,             0.00046495,             0.00046495
                     19,                 1.0377,                 0.6928,                 1.1204,                0.71562,                0.44295,                0.49015,                0.34158,                 1.0551,                0.80351,                 1.1641,             0.00046136,             0.00046136,             0.00046136
