                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9715,                0.69984,                 1.1603,                0.75816,                0.48615,                0.54195,                0.39336,                0.94903,                0.71552,                 1.1734,             0.00017336,             0.00017336,             0.00017336
                      2,                0.92288,                0.62813,                 1.1317,                0.74138,                0.48802,                0.54405,                0.39175,                 0.9558,                0.73669,                 1.1567,             0.00034628,             0.00034628,             0.00034628
                      3,                0.96102,                 0.6462,                 1.1403,                0.76218,                0.48553,                0.53507,                0.38547,                0.98296,                0.75998,                 1.1735,             0.00051725,             0.00051725,             0.00051725
                      4,                0.94326,                0.63544,                 1.1415,                0.73671,                0.47266,                0.52478,                0.37468,                0.97071,                0.75301,                 1.1675,             0.00051605,             0.00051605,             0.00051605
                      5,                0.94559,                0.62698,                  1.141,                0.72169,                0.48034,                0.53288,                0.38409,                0.98857,                0.75034,                 1.1812,              0.0005129,              0.0005129,              0.0005129
                      6,                0.94252,                0.62754,                 1.1304,                0.74662,                0.47999,                0.52741,                 0.3801,                 0.9773,                0.76977,                 1.1733,             0.00050983,             0.00050983,             0.00050983
                      7,                0.92413,                0.61566,                 1.1167,                0.72699,                0.48253,                 0.5302,                0.38166,                0.98241,                0.75679,                 1.2043,             0.00050671,             0.00050671,             0.00050671
                      8,                0.92478,                0.61141,                 1.1128,                0.74623,                0.47934,                0.53597,                0.38664,                0.98238,                0.75625,                 1.1699,              0.0005035,              0.0005035,              0.0005035
                      9,                0.90463,                0.60382,                 1.1157,                0.71486,                0.47865,                0.53413,                0.38783,                0.97558,                0.76127,                 1.1695,             0.00050028,             0.00050028,             0.00050028
                     10,                0.91641,                0.60523,                 1.1138,                0.73263,                0.47461,                0.53647,                 0.3885,                0.97033,                0.74398,                 1.2013,             0.00049725,             0.00049725,             0.00049725
                     11,                0.92051,                0.60634,                 1.1166,                0.75121,                0.48049,                0.53484,                0.38345,                0.97448,                0.77374,                 1.1857,             0.00049405,             0.00049405,             0.00049405
                     12,                0.90991,                0.59935,                 1.1202,                0.74107,                0.47441,                0.53623,                0.38809,                0.96945,                0.74476,                 1.1829,             0.00049107,             0.00049107,             0.00049107
                     13,                 0.8893,                0.58596,                 1.1204,                0.74814,                0.48828,                0.54147,                 0.3918,                0.95011,                0.71866,                 1.1776,              0.0004879,              0.0004879,              0.0004879
                     14,                0.89387,                0.58335,                 1.1083,                0.74418,                 0.4887,                0.54234,                0.39394,                0.96275,                0.74768,                 1.1599,             0.00048497,             0.00048497,             0.00048497
                     15,                0.88948,                0.58061,                 1.1054,                0.72566,                0.48971,                 0.5451,                0.39659,                 0.9566,                0.73708,                 1.1842,             0.00048182,             0.00048182,             0.00048182
                     16,                 0.8792,                0.57169,                 1.1169,                0.75608,                0.48284,                0.54554,                0.39631,                 0.9507,                0.74511,                 1.1525,             0.00047866,             0.00047866,             0.00047866
                     17,                0.84504,                0.54926,                 1.0995,                 0.7569,                0.49105,                0.54288,                0.39371,                0.94472,                0.74384,                 1.1846,              0.0004755,              0.0004755,              0.0004755
