                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3891,                  4.061,                 3.9593,                      0,                      0,                      0,                      0,                 5.7121,                 4.6685,                 4.2686,             0.00032407,             0.00032407,             0.00032407
                      2,                 4.1214,                  2.807,                 2.6574,                      0,                      0,                      0,                      0,                 5.8239,                 4.8516,                 4.7794,             0.00065407,             0.00065407,             0.00065407
                      3,                 3.4911,                 2.3951,                 2.1113,                0.02893,                0.01108,                 0.0175,                0.00571,                  5.468,                 4.3416,                 3.9722,             0.00098267,             0.00098267,             0.00098267
                      4,                 3.1673,                 2.1859,                 1.9193,                0.34418,                0.16562,                0.09862,                0.02878,                 3.2476,                 2.2616,                 2.0511,             0.00098802,             0.00098802,             0.00098802
                      5,                 2.9084,                 2.0262,                 1.7753,                0.19829,                0.20931,                0.12938,                0.04274,                 2.8546,                 2.2239,                 1.9004,             0.00098441,             0.00098441,             0.00098441
                      6,                 2.7661,                 1.8913,                 1.7201,                0.22907,                   0.21,                0.15271,                0.05768,                 2.8145,                 2.4649,                 1.8585,             0.00098043,             0.00098043,             0.00098043
                      7,                 2.6221,                 1.8085,                 1.6644,                0.29152,                0.27598,                 0.2166,                 0.0855,                 2.5252,                 1.8137,                  1.746,             0.00097614,             0.00097614,             0.00097614
                      8,                 2.5137,                 1.7155,                 1.6238,                0.48664,                0.28001,                0.22694,                 0.0985,                 2.3864,                 1.8165,                 1.6644,             0.00097239,             0.00097239,             0.00097239
                      9,                 2.4069,                 1.7064,                 1.5694,                0.44799,                0.29185,                0.22591,                0.09527,                 2.4085,                 1.9942,                 1.7055,             0.00096845,             0.00096845,             0.00096845
                     10,                 2.3657,                 1.6471,                 1.5458,                0.51353,                0.27666,                0.24826,                0.11761,                 2.2635,                 1.7022,                  1.624,             0.00096464,             0.00096464,             0.00096464
