                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2317,                 1.0248,                 1.2063,                0.68735,                 0.4279,                0.46774,                0.32748,                 1.0877,                0.85323,                 1.1916,             0.00017144,             0.00017144,             0.00017144
                      2,                 1.1233,                0.77326,                 1.1676,                0.67923,                 0.4404,                0.47442,                0.32949,                 1.0727,                0.81166,                  1.175,             0.00034465,             0.00034465,             0.00034465
                      3,                 1.0995,                0.75246,                 1.1459,                0.72551,                0.42494,                 0.4779,                0.33779,                 1.0687,                0.80593,                 1.1632,              0.0005166,              0.0005166,              0.0005166
                      4,                 1.1012,                0.75661,                 1.1373,                0.70897,                0.43549,                0.47119,                0.33119,                 1.0968,                0.80738,                 1.1916,             0.00051795,             0.00051795,             0.00051795
                      5,                  1.123,                0.75238,                  1.153,                0.72582,                0.44213,                0.48245,                0.33687,                 1.0727,                0.81038,                 1.1863,             0.00051553,             0.00051553,             0.00051553
                      6,                 1.0834,                0.72955,                   1.14,                0.72058,                0.44117,                0.47991,                 0.3348,                 1.0873,                0.80761,                 1.1669,             0.00051298,             0.00051298,             0.00051298
                      7,                 1.0967,                0.72881,                 1.1375,                0.69162,                0.45105,                0.48172,                0.33399,                 1.0846,                0.79296,                 1.1682,             0.00051061,             0.00051061,             0.00051061
                      8,                 1.0698,                0.72925,                 1.1421,                0.72583,                0.43054,                0.47784,                0.33244,                 1.0807,                0.82492,                 1.1938,             0.00050804,             0.00050804,             0.00050804
                      9,                 1.0911,                0.75479,                 1.1367,                 0.7069,                0.43195,                0.47802,                0.33299,                 1.0721,                0.83102,                 1.1801,             0.00050548,             0.00050548,             0.00050548
                     10,                 1.0503,                0.71109,                 1.1483,                0.70628,                0.44618,                0.48455,                0.33839,                 1.0799,                0.81366,                 1.1668,             0.00050291,             0.00050291,             0.00050291
                     11,                 1.0717,                0.71908,                 1.1254,                0.68757,                0.45425,                0.48916,                0.34006,                 1.0724,                 0.7988,                 1.1839,             0.00050047,             0.00050047,             0.00050047
                     12,                 1.0657,                0.72205,                  1.144,                0.70856,                0.44876,                0.48672,                0.34153,                 1.0767,                0.81676,                  1.168,             0.00049792,             0.00049792,             0.00049792
                     13,                 1.0534,                0.70782,                 1.1307,                0.70544,                0.44466,                0.48448,                0.34183,                 1.0548,                0.78691,                  1.172,             0.00049552,             0.00049552,             0.00049552
                     14,                 1.0663,                0.70855,                 1.1197,                0.72675,                0.44262,                0.48648,                0.34267,                 1.0603,                0.79927,                 1.1727,             0.00049298,             0.00049298,             0.00049298
