                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9148,                 4.7173,                  4.099,                      0,                      0,                      0,                      0,                 5.1017,                 5.1258,                 4.2274,             0.00017144,             0.00017144,             0.00017144
                      2,                 4.0994,                 3.5974,                 3.2956,                      0,                      0,                      0,                      0,                 5.2175,                 5.4731,                 4.6886,             0.00034494,             0.00034494,             0.00034494
                      3,                 3.6371,                 2.9479,                 2.6878,                0.57944,                 0.0212,                0.01973,                0.00701,                 3.9717,                 3.6788,                 3.1082,             0.00051738,             0.00051738,             0.00051738
                      4,                  3.317,                 2.6376,                 2.3645,                0.52081,                0.06487,                0.05562,                0.01998,                 3.1824,                 2.6943,                 2.4251,             0.00051867,             0.00051867,             0.00051867
                      5,                 3.0956,                 2.3845,                 2.1899,                0.31902,                0.11422,                0.07483,                0.03312,                 2.8848,                 2.7625,                 2.3046,             0.00051613,             0.00051613,             0.00051613
                      6,                 2.7879,                 2.1725,                 2.0955,                0.40559,                0.11075,                0.08229,                0.04036,                 2.7431,                 2.6784,                 2.1825,             0.00051354,             0.00051354,             0.00051354
                      7,                 2.6932,                 2.0654,                  1.997,                 0.4729,                0.13958,                0.11141,                0.05164,                 2.6562,                 2.3141,                 2.1296,             0.00051112,             0.00051112,             0.00051112
                      8,                 2.5648,                 1.9425,                 1.9861,                0.43923,                0.16246,                 0.1354,                0.06615,                 2.5622,                 2.0203,                 1.9927,             0.00050864,             0.00050864,             0.00050864
                      9,                 2.5006,                 1.9376,                  1.905,                0.56392,                0.16755,                 0.1603,                0.08148,                 2.3604,                 1.9104,                 1.9956,             0.00050616,             0.00050616,             0.00050616
                     10,                 2.4157,                 1.8214,                 1.8955,                0.61702,                0.17058,                0.17596,                0.08683,                 2.4484,                 1.7993,                  1.969,             0.00050368,             0.00050368,             0.00050368
                     11,                 2.3422,                 1.7953,                 1.8376,                0.51721,                 0.1841,                 0.1713,                0.08726,                 2.2916,                 1.9389,                 1.9268,             0.00050132,             0.00050132,             0.00050132
                     12,                 2.3025,                  1.725,                 1.8251,                0.49812,                0.19241,                0.16849,                0.09147,                 2.2708,                 1.9092,                  1.943,             0.00049872,             0.00049872,             0.00049872
                     13,                 2.2357,                 1.6817,                 1.7977,                 0.3545,                 0.2125,                0.19449,                0.10473,                  2.144,                 1.8978,                 1.9195,             0.00049624,             0.00049624,             0.00049624
                     14,                 2.1858,                 1.6194,                 1.7477,                0.45931,                0.20503,                0.20859,                0.10696,                 2.1802,                 1.7283,                 1.8855,             0.00049376,             0.00049376,             0.00049376
                     15,                 2.1759,                 1.6098,                 1.7199,                0.63516,                0.21207,                0.21478,                 0.1178,                 2.0875,                 1.7462,                 1.8705,             0.00049145,             0.00049145,             0.00049145
                     16,                 2.1263,                 1.5762,                 1.7266,                0.56643,                0.22899,                0.23031,                0.12538,                 2.0288,                  1.557,                 1.7774,             0.00048863,             0.00048863,             0.00048863
                     17,                 2.0419,                 1.5441,                 1.7324,                0.55952,                 0.2448,                0.24104,                0.13066,                  2.042,                 1.6447,                 1.7027,             0.00048632,             0.00048632,             0.00048632
                     18,                 2.0403,                 1.4816,                 1.6552,                0.61991,                0.22153,                0.23261,                0.13117,                 1.9387,                 1.5468,                 1.7715,             0.00048384,             0.00048384,             0.00048384
                     19,                 2.0047,                 1.4782,                 1.6403,                 0.5791,                0.23709,                0.24199,                0.13377,                 1.9585,                 1.6524,                 1.7882,             0.00048137,             0.00048137,             0.00048137
                     20,                 1.9544,                 1.4159,                 1.6258,                0.59428,                0.23052,                0.23221,                0.12919,                 2.0081,                 1.7451,                 1.7201,             0.00047866,             0.00047866,             0.00047866
                     21,                 1.9003,                 1.3678,                 1.5865,                0.69777,                0.24641,                0.27133,                0.14908,                 1.8348,                 1.4769,                 1.7227,             0.00047617,             0.00047617,             0.00047617
                     22,                   1.87,                 1.4091,                 1.6045,                0.61702,                0.26511,                0.27287,                0.15075,                 1.8302,                 1.4476,                 1.6588,             0.00047368,             0.00047368,             0.00047368
                     23,                 1.8498,                 1.3864,                 1.5887,                0.59557,                0.26683,                0.25931,                0.14764,                 1.8554,                 1.5463,                 1.6748,             0.00047119,             0.00047119,             0.00047119
                     24,                 1.8342,                 1.3459,                 1.5656,                0.60048,                 0.2699,                0.27849,                0.15883,                 1.7879,                 1.3737,                 1.6778,             0.00046869,             0.00046869,             0.00046869
                     25,                  1.846,                 1.3311,                  1.541,                 0.5942,                0.25922,                0.27626,                0.15923,                 1.8051,                 1.4088,                 1.6294,              0.0004662,              0.0004662,              0.0004662
                     26,                 1.8009,                  1.318,                  1.545,                0.67653,                0.26039,                0.28505,                0.16239,                 1.7871,                 1.3843,                  1.613,             0.00046371,             0.00046371,             0.00046371
                     27,                 1.7843,                  1.299,                 1.5215,                0.66278,                0.27499,                0.29902,                0.17509,                 1.7247,                 1.3287,                 1.5783,             0.00046122,             0.00046122,             0.00046122
                     28,                  1.788,                 1.2489,                 1.5124,                0.66475,                0.27698,                0.29091,                0.17119,                 1.6863,                 1.3157,                 1.5577,             0.00045873,             0.00045873,             0.00045873
                     29,                 1.7226,                 1.2692,                 1.5248,                0.70106,                0.26846,                 0.3013,                0.17834,                 1.6547,                 1.3784,                 1.5909,             0.00045624,             0.00045624,             0.00045624
                     30,                 1.7361,                 1.2821,                  1.526,                0.61436,                0.27758,                0.29594,                0.17487,                 1.6539,                 1.2873,                 1.5737,             0.00045374,             0.00045374,             0.00045374
                     31,                 1.7063,                 1.2314,                 1.4694,                0.67531,                0.29021,                0.31395,                0.18937,                 1.6098,                 1.2778,                 1.5358,             0.00045125,             0.00045125,             0.00045125
                     32,                 1.6895,                  1.258,                 1.5103,                0.67609,                0.28652,                0.30804,                  0.184,                 1.6082,                 1.2761,                 1.5247,             0.00044876,             0.00044876,             0.00044876
                     33,                 1.6495,                 1.1854,                 1.4705,                0.62204,                0.26905,                0.27907,                0.16084,                 1.7705,                 1.3946,                  1.554,             0.00044627,             0.00044627,             0.00044627
                     34,                 1.6706,                 1.2012,                 1.4746,                0.68136,                0.30338,                0.31799,                  0.191,                 1.6084,                 1.2224,                 1.5151,             0.00044378,             0.00044378,             0.00044378
                     35,                 1.6387,                 1.2033,                 1.4575,                0.65124,                0.29708,                0.30988,                0.18768,                 1.6375,                  1.372,                 1.5209,             0.00044129,             0.00044129,             0.00044129
                     36,                  1.645,                 1.1957,                 1.4778,                0.63785,                 0.3225,                0.33077,                0.19751,                 1.5918,                 1.2286,                 1.5413,             0.00043879,             0.00043879,             0.00043879
                     37,                 1.6458,                 1.1523,                   1.43,                0.67709,                0.29755,                0.32107,                0.19416,                 1.5908,                 1.2396,                 1.5039,              0.0004363,              0.0004363,              0.0004363
                     38,                 1.5987,                 1.1489,                 1.4553,                0.65498,                0.31092,                0.32839,                0.19783,                 1.5593,                  1.238,                 1.5637,             0.00043381,             0.00043381,             0.00043381
                     39,                 1.6307,                 1.1532,                 1.4403,                 0.6653,                0.30528,                0.32841,                0.19963,                 1.5531,                 1.2315,                 1.4833,             0.00043132,             0.00043132,             0.00043132
                     40,                 1.5114,                 1.1192,                 1.4484,                0.67184,                0.30678,                0.32584,                0.19902,                 1.5443,                 1.1924,                 1.5053,             0.00042883,             0.00042883,             0.00042883
                     41,                 1.5879,                 1.1295,                  1.431,                0.62233,                0.31621,                0.31927,                0.19619,                 1.5719,                 1.3591,                  1.557,             0.00042634,             0.00042634,             0.00042634
                     42,                 1.5559,                 1.1265,                 1.4508,                0.68066,                0.31255,                0.33726,                0.20284,                 1.5379,                 1.2233,                 1.4814,             0.00042385,             0.00042385,             0.00042385
                     43,                 1.5245,                 1.1013,                 1.4657,                0.59284,                0.32403,                0.33838,                  0.209,                 1.5338,                 1.2031,                 1.4585,             0.00042135,             0.00042135,             0.00042135
                     44,                 1.5266,                 1.0997,                 1.4167,                0.68872,                0.32892,                0.35188,                0.21848,                 1.4808,                 1.1585,                 1.4632,             0.00041886,             0.00041886,             0.00041886
                     45,                 1.5277,                 1.0817,                 1.3996,                0.63996,                0.32124,                0.35246,                0.21783,                 1.4823,                 1.1672,                 1.4602,             0.00041637,             0.00041637,             0.00041637
                     46,                 1.5491,                 1.0858,                 1.4211,                0.70438,                0.31616,                0.35404,                0.21916,                 1.4816,                 1.1136,                 1.5389,             0.00041388,             0.00041388,             0.00041388
                     47,                 1.5062,                 1.0677,                 1.4326,                0.64021,                0.32463,                0.34808,                0.21413,                 1.4932,                 1.1533,                 1.4479,             0.00041139,             0.00041139,             0.00041139
                     48,                 1.4954,                 1.0663,                 1.4061,                0.60897,                0.32514,                 0.3423,                0.21285,                  1.478,                  1.133,                 1.4609,              0.0004089,              0.0004089,              0.0004089
                     49,                  1.484,                 1.0605,                 1.4001,                0.62054,                0.34508,                 0.3628,                0.22628,                 1.4629,                  1.117,                 1.4343,              0.0004064,              0.0004064,              0.0004064
                     50,                 1.4863,                 1.0667,                 1.3953,                0.62538,                0.34315,                0.36063,                0.22125,                 1.4796,                 1.1561,                 1.4408,             0.00040391,             0.00040391,             0.00040391
                     51,                 1.5318,                 1.2732,                 1.4111,                0.58836,                0.34355,                0.35664,                0.22615,                 1.4218,                 1.1518,                 1.4446,             0.00040142,             0.00040142,             0.00040142
                     52,                 1.4885,                 1.0727,                  1.393,                0.63667,                 0.3202,                0.35791,                0.22348,                 1.4641,                 1.1632,                 1.4257,             0.00039893,             0.00039893,             0.00039893
                     53,                 1.4585,                 1.0423,                 1.3712,                0.68368,                0.32848,                0.36098,                0.22616,                 1.4538,                 1.1497,                  1.411,             0.00039644,             0.00039644,             0.00039644
                     54,                 1.4369,                 1.0154,                 1.3783,                0.56527,                0.32943,                0.34978,                0.22049,                 1.4644,                 1.1875,                 1.4455,             0.00039395,             0.00039395,             0.00039395
                     55,                 1.4391,                 1.0206,                 1.3947,                0.54921,                 0.3368,                0.35667,                0.22376,                 1.4445,                 1.1309,                 1.4103,             0.00039145,             0.00039145,             0.00039145
                     56,                 1.4175,                 1.0016,                 1.3503,                0.65862,                0.34032,                0.38012,                0.23976,                  1.416,                 1.1025,                 1.4219,             0.00038896,             0.00038896,             0.00038896
                     57,                 1.4193,                 1.0008,                 1.3415,                 0.6465,                0.33447,                0.37025,                0.23578,                 1.4305,                 1.0923,                 1.4292,             0.00038647,             0.00038647,             0.00038647
                     58,                 1.4564,                 1.0255,                 1.3709,                0.67894,                0.34375,                0.37451,                0.23716,                 1.4018,                 1.0908,                 1.5039,             0.00038398,             0.00038398,             0.00038398
                     59,                 1.4342,                 1.0008,                 1.3816,                0.64269,                0.33754,                0.36837,                0.23107,                 1.4331,                 1.0886,                 1.4099,             0.00038149,             0.00038149,             0.00038149
                     60,                 1.3968,                0.98919,                 1.3478,                0.68245,                0.32881,                0.36449,                0.22522,                 1.4696,                 1.1447,                 1.4227,               0.000379,               0.000379,               0.000379
                     61,                 1.4294,                 1.0024,                 1.3589,                0.72656,                0.34593,                0.38579,                0.24812,                 1.3893,                 1.0853,                 1.4199,             0.00037651,             0.00037651,             0.00037651
                     62,                 1.4067,                0.98332,                  1.375,                0.67246,                0.34906,                0.37808,                0.24104,                 1.3904,                 1.1333,                 1.4907,             0.00037401,             0.00037401,             0.00037401
                     63,                  1.397,                0.99349,                 1.3705,                0.64254,                0.33634,                0.37412,                0.24099,                 1.3808,                 1.1251,                 1.4349,             0.00037152,             0.00037152,             0.00037152
                     64,                 1.3945,                 1.0112,                  1.344,                0.63729,                0.34423,                0.37409,                0.24067,                 1.3699,                 1.0898,                 1.4289,             0.00036903,             0.00036903,             0.00036903
                     65,                 1.3718,                0.97332,                  1.372,                0.55435,                0.35467,                0.36901,                0.23275,                 1.4364,                 1.0934,                  1.416,             0.00036654,             0.00036654,             0.00036654
                     66,                 1.3923,                0.97608,                 1.3622,                0.64644,                0.34088,                0.37412,                0.24177,                 1.3892,                 1.0883,                  1.408,             0.00036405,             0.00036405,             0.00036405
                     67,                 1.3778,                0.96717,                 1.3432,                0.63531,                0.35917,                0.38489,                0.24751,                 1.3688,                 1.0548,                 1.3978,             0.00036156,             0.00036156,             0.00036156
                     68,                 1.3515,                0.95533,                 1.3901,                0.62541,                 0.3545,                0.38373,                 0.2504,                 1.3413,                 1.0396,                 1.4145,             0.00035906,             0.00035906,             0.00035906
                     69,                 1.3666,                0.95475,                 1.3481,                0.65823,                0.35399,                0.38614,                0.24609,                  1.373,                 1.0775,                  1.386,             0.00035657,             0.00035657,             0.00035657
                     70,                 1.3448,                0.93201,                 1.3283,                0.65772,                 0.3614,                0.39494,                0.24975,                 1.3704,                 1.0537,                 1.4353,             0.00035408,             0.00035408,             0.00035408
                     71,                 1.3586,                0.92812,                 1.3226,                0.58913,                0.35552,                0.37384,                0.23881,                 1.3883,                 1.0965,                 1.3843,             0.00035159,             0.00035159,             0.00035159
                     72,                 1.3571,                0.93139,                 1.3134,                0.61942,                0.37496,                0.39491,                0.25442,                 1.3493,                 1.0297,                 1.3741,              0.0003491,              0.0003491,              0.0003491
                     73,                 1.3608,                0.94156,                 1.3531,                  0.672,                0.35692,                 0.3888,                0.25119,                  1.348,                  1.054,                 1.3976,             0.00034661,             0.00034661,             0.00034661
                     74,                 1.3439,                0.92064,                 1.3382,                0.62885,                 0.3693,                 0.4005,                0.25657,                 1.3397,                0.99679,                 1.3799,             0.00034498,             0.00034498,             0.00034498
                     75,                 1.3382,                0.91929,                 1.3152,                0.69243,                0.36092,                0.39492,                0.25114,                 1.3457,                 1.0383,                 1.4047,             0.00034162,             0.00034162,             0.00034162
                     76,                 1.3291,                0.92008,                 1.3174,                0.65748,                0.36662,                 0.3967,                0.25686,                 1.3284,                 1.0437,                  1.375,             0.00033913,             0.00033913,             0.00033913
                     77,                 1.3045,                0.91039,                  1.333,                 0.7002,                0.35075,                0.39145,                0.25277,                 1.3325,                 1.0565,                  1.399,             0.00033664,             0.00033664,             0.00033664
                     78,                  1.334,                0.92075,                  1.327,                0.68916,                0.35686,                 0.3996,                0.25767,                  1.333,                 1.0258,                 1.3732,             0.00033415,             0.00033415,             0.00033415
                     79,                 1.3084,                0.92635,                  1.323,                0.63232,                 0.3691,                0.39857,                 0.2557,                 1.3116,                 1.0059,                 1.3898,             0.00033258,             0.00033258,             0.00033258
                     80,                  1.332,                0.92787,                 1.3264,                0.63203,                0.36745,                0.39832,                0.26119,                 1.3078,                  1.025,                 1.4069,             0.00032917,             0.00032917,             0.00032917
                     81,                 1.3207,                0.92008,                 1.3341,                0.63903,                0.36887,                0.40193,                0.25867,                 1.3373,                 1.0238,                 1.3696,             0.00032762,             0.00032762,             0.00032762
                     82,                 1.2961,                0.89666,                  1.311,                0.66696,                0.36284,                0.39943,                 0.2573,                 1.3309,                 1.0047,                 1.3599,             0.00032514,             0.00032514,             0.00032514
                     83,                 1.2984,                0.88087,                 1.2939,                0.64608,                0.36498,                 0.4031,                0.26377,                 1.3049,                 1.0223,                 1.3548,             0.00032266,             0.00032266,             0.00032266
                     84,                 1.2893,                0.89999,                 1.3053,                 0.5969,                0.37492,                0.39488,                0.25546,                 1.3174,                 1.0337,                 1.3426,             0.00032018,             0.00032018,             0.00032018
                     85,                 1.2952,                0.91075,                 1.3219,                0.62616,                0.37267,                0.40346,                0.26654,                 1.2948,                0.99674,                 1.3485,              0.0003177,              0.0003177,              0.0003177
                     86,                 1.2854,                0.89221,                 1.3174,                0.67443,                0.35962,                0.40269,                0.26197,                 1.3306,                 1.0429,                 1.3468,             0.00031422,             0.00031422,             0.00031422
                     87,                 1.2882,                0.89403,                 1.3081,                0.61496,                0.37599,                0.40168,                0.26358,                 1.2886,                 1.0226,                 1.3628,             0.00031172,             0.00031172,             0.00031172
                     88,                 1.2913,                 0.8709,                 1.3015,                0.66333,                 0.3717,                0.40618,                0.26596,                 1.3041,                 1.0001,                 1.3788,             0.00030923,             0.00030923,             0.00030923
                     89,                 1.2698,                0.86029,                 1.2974,                0.64444,                0.38045,                0.41098,                0.26868,                 1.2966,                0.99188,                 1.3667,             0.00030779,             0.00030779,             0.00030779
                     90,                 1.2615,                0.86339,                 1.3015,                0.60805,                0.38007,                0.40829,                 0.2656,                 1.3059,                0.99427,                 1.3571,             0.00030425,             0.00030425,             0.00030425
