                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0708,                0.84786,                 1.1713,                0.71503,                0.46816,                0.51596,                0.36847,                  0.997,                0.74592,                 1.1728,             0.00017144,             0.00017144,             0.00017144
                      2,                0.98434,                0.65514,                 1.1369,                0.73852,                0.47124,                0.52763,                0.37962,                0.97336,                0.73574,                 1.1634,             0.00034457,             0.00034457,             0.00034457
                      3,                 0.9743,                0.65038,                 1.1186,                0.73972,                0.45949,                0.51421,                0.37264,                  0.981,                 0.7334,                 1.1656,             0.00051639,             0.00051639,             0.00051639
                      4,                0.97323,                0.64708,                 1.1066,                0.71511,                0.47158,                0.51399,                0.36824,                0.99678,                0.74542,                 1.1595,             0.00051773,             0.00051773,             0.00051773
                      5,                0.98927,                0.65184,                 1.1289,                0.72566,                0.46672,                0.51621,                 0.3677,                0.98487,                0.75987,                 1.1743,             0.00051526,             0.00051526,             0.00051526
                      6,                0.96604,                0.63721,                 1.1093,                0.71798,                0.46672,                0.51537,                0.37115,                0.98849,                0.76769,                 1.1622,             0.00051251,             0.00051251,             0.00051251
                      7,                0.97294,                0.63673,                 1.1121,                  0.759,                0.46345,                0.52074,                0.37347,                0.99075,                0.73786,                 1.1598,             0.00051006,             0.00051006,             0.00051006
                      8,                0.94388,                0.62624,                  1.113,                0.73254,                0.47804,                0.52166,                0.37399,                0.98412,                0.76085,                 1.1486,             0.00050759,             0.00050759,             0.00050759
                      9,                 0.9719,                0.64796,                 1.1154,                0.69781,                0.47924,                0.51898,                0.37038,                 0.9866,                0.74348,                 1.1632,             0.00050496,             0.00050496,             0.00050496
                     10,                0.92135,                0.61137,                 1.1131,                0.75751,                 0.4672,                0.52098,                0.37338,                0.98063,                0.73727,                  1.165,             0.00050233,             0.00050233,             0.00050233
                     11,                0.94302,                 0.6187,                 1.0951,                0.71434,                0.46727,                0.52076,                0.37141,                0.98388,                0.75045,                 1.1658,             0.00049996,             0.00049996,             0.00049996
                     12,                0.93748,                0.62478,                 1.1162,                0.73331,                0.47742,                0.52693,                0.37774,                0.98648,                0.72903,                 1.1751,             0.00049736,             0.00049736,             0.00049736
